,Batch,ID,Time,Embryo,Zona,Ratio
218,D2018_02_25_S00434_I0776,E4,9686,,,
219,D2018_02_25_S00434_I0776,E4,4775,0.1778,0.3110,0.5717
220,D2018_02_25_S00434_I0776,E4,4745,0.1784,0.3119,0.5720
221,D2018_02_25_S00434_I0776,E4,3186,0.1765,0.3093,0.5706
222,D2018_02_25_S00434_I0776,E4,6231,0.2160,0.3406,0.6342
223,D2018_02_25_S00434_I0776,E4,8516,,,
224,D2018_02_25_S00434_I0776,E4,5155,0.1849,0.3123,0.5921
225,D2018_02_25_S00434_I0776,E4,7767,,,
226,D2018_02_25_S00434_I0776,E4,1408,0.1750,0.3090,0.5663
227,D2018_02_25_S00434_I0776,E4,6171,0.2049,0.3296,0.6217
228,D2018_02_25_S00434_I0776,E4,6601,0.3164,0.3892,0.8129
229,D2018_02_25_S00434_I0776,E4,8726,,,
230,D2018_02_25_S00434_I0776,E4,8402,,,
231,D2018_02_25_S00434_I0776,E4,3016,0.1775,0.3100,0.5726
232,D2018_02_25_S00434_I0776,E4,7396,,,
233,D2018_02_25_S00434_I0776,E4,1108,0.1739,0.3021,0.5756
234,D2018_02_25_S00434_I0776,E4,4895,0.1779,0.3114,0.5713
